PRN_NO,Name,hour_study,prev_midsemmarks,Prev_Sem_Marks,Attendance_%,Mobile_Screen_Time_hrs,Risk
2302807,Sneha Gupta,6,5,47,87,7.8,1
2302808,Sai Pawar,2,10,64,83,5.1,0
2302809,Priya Chavan,7,7,23,84.1,11.9,1
2302810,Ananya Pandey,4,19,80,50.4,11,1
2302811,Suresh Singh,4,0,58,83.4,9.5,0
2302812,Manish Jadhav,4,13,43,38.6,2.8,1
2302813,Rahul Patel,7,20,90,37.5,8.5,1
2302814,Amit Kumar,1,20,65,70.9,7.1,0
2302815,Suresh Patel,1,1,72,33.4,2.1,1
2302816,Ishaan Jadhav,7,5,67,95.7,9.6,0
2302817,Aryan Kulkarni,8,8,28,53,1.5,1
2302818,Kavya Kumar,1,13,41,63.4,6,1
2302819,Suresh Desai,3,7,21,86.9,5.4,1
2302820,Siddharth Gupta,7,2,35,58,9.8,1
2302821,Raj Mishra,1,9,24,60.1,5.4,1
2302822,Rahul Gupta,3,17,31,54.4,8.5,1
2302823,Vijay Mishra,0,19,71,54.6,6,1
2302824,Sai Gupta,1,8,45,62.8,7.2,1
2302825,Krishna Chavan,6,8,34,96.2,3.3,0
2302826,Vivaan Sharma,0,18,86,95.5,2.8,0
2302827,Ishaan More,0,12,92,68.2,8.7,0
2302828,Kunal Desai,1,0,78,61.9,1.9,1
2302829,Nikhil Shah,3,16,58,86.6,2.5,0
2302830,Ananya Joshi,6,3,82,77.7,11.3,0
2302831,Raj Mishra,3,3,44,91.7,3.4,1
2302832,Manish Kumar,4,15,60,81.1,4.2,0
2302833,Siddharth Mehta,3,15,47,96.7,7.8,0
2302834,Rohan Pandey,3,14,40,92,5.6,0
2302835,Vivaan Kulkarni,8,5,80,89.9,6.9,0
2302836,Deepak Shah,5,4,76,57.4,2.2,1
2302837,Aarav Kumar,2,9,30,57,8.2,1
2302838,Arjun Pandey,5,6,38,81.9,2.3,1
2302839,Aarav Sharma,6,6,94,35.9,9.1,1
2302840,Deepak Nair,6,9,20,52.6,6.5,1
2302841,Amit Nair,7,9,51,95.3,9.9,0
2302842,Rahul Pandey,3,14,96,61.5,2.5,0
2302843,Kavya Rao,0,5,53,48.9,4.8,1
2302844,Aditya Mishra,5,1,36,63.4,10.2,1
2302845,Riya Kumar,7,7,74,50.2,9.7,1
2302846,Kunal Pandey,4,19,38,83.8,11.6,0
2302847,Kavya Pawar,2,14,93,89.5,3.1,0
2302848,Amit Mishra,3,20,61,84.8,6.7,0
2302849,Kavya Rao,7,20,78,40.4,0.7,0
2302850,Kavya Chavan,5,17,92,53.5,11.6,1
2302851,Sneha Mishra,4,4,94,45,2.5,1
2302852,Sai Patel,8,3,57,33,10.9,1
2302853,Sneha Tiwari,2,9,50,81.7,8.3,0
2302854,Pooja Kumar,6,18,85,60,11.3,0
2302855,Siddharth Pandey,8,13,88,49.4,3.4,0
2302856,Amit Mishra,3,12,69,51.5,4.5,0
2302857,Kavya Patel,2,9,49,39.5,2.4,1
2302858,Nikhil Rao,0,5,54,87.9,5.4,1
2302859,Arjun Pawar,8,12,78,40.1,11.4,1
2302860,Suresh Verma,0,20,36,53.7,7.1,1
2302861,Raj Pandey,1,10,85,30.5,5.3,1
2302862,Arjun Kulkarni,8,14,99,60.5,4.2,0
2302863,Sai Rao,4,1,40,54.8,7.2,1
2302864,Manish Jadhav,3,14,71,80.3,8.8,0
2302865,Shreya Singh,8,18,84,80.1,5.2,0
2302866,Kavya Tiwari,8,16,33,32.7,3.2,1
2302867,Sneha Mishra,1,19,35,38.1,7.2,1
2302868,Rohan Shah,2,17,74,93.3,4.7,0
2302869,Suresh Pandey,2,5,28,85.4,11.9,1
2302870,Neha Desai,4,14,27,57.3,5.6,1
2302871,Pooja Shah,2,16,92,41.6,5.5,1
2302872,Aditya Pawar,5,8,53,48.3,10.2,1
2302873,Aditya More,1,11,52,76.1,3.4,0
2302874,Aisha Singh,5,4,26,96.2,1.3,1
2302875,Aditya Chavan,5,13,40,73.1,10.3,0
2302876,Ananya Kumar,1,7,24,31.9,7.3,1
2302877,Vijay Pawar,5,16,90,75.6,3.5,0
2302878,Rohan Desai,5,8,31,96.1,4.4,0
2302879,Shreya Sharma,5,2,78,55.1,5.4,1
2302880,Aditya Singh,4,6,100,95.3,8.3,0
2302881,Diya Rao,6,11,77,76.9,5.9,0
2302882,Raj Tiwari,4,2,56,43.3,5.1,1
2302883,Arjun Chavan,0,8,64,40.2,9.5,1
2302884,Pooja Pandey,8,13,99,42.3,1.3,0
2302885,Kunal Singh,2,17,44,78.9,8,1
2302886,Ishaan Chavan,1,10,46,71.3,5.7,1
2302887,Nikhil Chavan,5,3,70,61.9,4.4,0
2302888,Kunal Singh,7,7,61,48.4,11.2,1
2302889,Diya Mishra,1,17,90,93.5,9.4,0
2302890,Vivaan Patel,3,12,61,45,3,0
2302891,Amit Kumar,1,3,79,49.9,8,1
2302892,Vijay Pandey,8,9,91,33.8,10,1
2302893,Priya Mehta,1,7,98,49.3,11.9,1
2302894,Rohan Mishra,1,11,77,94.6,8.5,0
2302895,Vivaan Kumar,4,18,99,43.1,8.4,1
2302896,Rohan Shah,4,11,91,44.3,7.6,1
2302897,Neha Joshi,6,1,100,72,1,0
2302898,Aryan Chavan,0,7,41,69.7,7.2,1
2302899,Aditya Nair,1,12,77,42.3,9.8,1
2302900,Sai Jadhav,5,0,30,40.8,5,1
2302901,Shreya Gupta,1,2,25,38.2,7.3,1
2302902,Rahul Joshi,3,1,41,90.3,11.2,1
2302903,Nikhil Verma,5,19,97,75.8,2.5,0
2302904,Priya Mishra,6,7,31,96.7,3.7,1
2302905,Suresh Gupta,4,2,46,41.6,1.8,1
2302906,Kunal Rao,7,20,20,62.2,6.3,0
2302907,Vijay Tiwari,5,14,83,82,10.2,0
2302908,Ananya Singh,4,1,93,44.9,5.5,1
2302909,Siddharth Rao,3,16,99,77.9,1.3,0
2302910,Aryan Jadhav,5,5,58,63.2,3.5,0
2302911,Pooja Kumar,5,0,79,60.2,10.7,0
2302912,Raj Mehta,5,3,89,75.1,6.9,0
2302913,Arjun Nair,0,18,73,62.7,11,0
2302914,Aisha Rao,5,6,44,87.4,10.1,1
2302915,Riya Patel,0,13,39,95.1,5.3,1
2302916,Aryan Desai,4,13,55,71.2,7.8,0
2302917,Priya Pawar,6,9,42,51,8.1,1
2302918,Vihaan Singh,0,6,99,84.4,9.1,1
2302919,Kavya Mehta,0,15,20,41.9,4.3,1
2302920,Neha Gupta,5,3,46,36.6,3.8,1
2302921,Amit Rao,6,6,71,66.3,8.4,0
2302922,Aditya Sharma,5,14,21,75.3,9.9,0
2302923,Aisha Chavan,4,16,40,88.4,5.3,0
2302924,Suresh Desai,5,2,28,96.9,4.2,1
2302925,Diya Nair,2,15,67,91.1,10,0
2302926,Aditya Mehta,8,1,58,99.2,8.4,0
2302927,Nikhil Shah,4,6,61,63.3,4.5,0
2302928,Suresh Tiwari,1,15,90,52.2,6.6,1
2302929,Aarav Jadhav,6,20,64,62.2,11.5,0
2302930,Kavya Mehta,2,8,21,75.1,9.1,1
2302931,Krishna Nair,0,11,95,65.5,3,0
2302932,Neha Pandey,2,0,96,74.4,3.9,1
2302933,Arjun Pandey,8,13,86,92.1,3.6,0
2302934,Aisha Verma,4,10,62,41.6,10.3,1
2302935,Diya Chavan,6,17,37,38.4,7.9,1
2302936,Pooja Nair,2,4,58,64.9,11.3,1
2302937,Sneha Nair,3,14,25,98.7,1.5,0
2302938,Deepak Tiwari,0,6,61,34.1,1.1,1
2302939,Raj Mehta,2,13,71,99.1,8.3,0
2302940,Deepak Tiwari,6,19,46,97.7,3.6,0
2302941,Aditya Kulkarni,3,7,98,50.5,8.3,1
2302942,Riya Verma,1,3,34,92.4,8.8,1
2302943,Aryan Patel,4,2,38,30.5,4,1
2302944,Priya Desai,4,11,81,61.8,11.5,0
2302945,Rahul Mishra,1,17,83,58.1,9.4,1
2302946,Rohan Pawar,5,14,70,93.2,4.7,0
2302947,Kunal Verma,3,10,66,63.1,5.2,0
2302948,Ananya Nair,0,10,76,59.3,8.7,1
2302949,Shreya Desai,2,11,39,74.8,4,1
2302950,Riya Pawar,8,18,39,56.3,3.9,1
2302951,Neha Jadhav,6,16,83,67.6,7.7,0
2302952,Aditya Chavan,5,5,57,96.9,2.1,0
2302953,Sai Shah,0,20,57,44.2,11.9,1
2302954,Priya Pandey,8,7,84,62.1,3.8,0
2302955,Pooja Chavan,8,14,95,31.1,4.9,0
2302956,Aryan Shah,0,19,24,89,3.1,1
2302957,Nikhil Mishra,5,9,83,36.4,7.9,1
2302958,Vihaan Joshi,6,14,46,36.6,1.2,1
2302959,Amit Verma,1,11,39,91.8,11.2,1
2302960,Raj Pandey,7,10,79,58.7,4,0
2302961,Ishaan Joshi,7,17,59,78.1,11.2,0
2302962,Pooja Tiwari,5,4,98,90,3.4,0
2302963,Ishaan Shah,8,11,25,56.2,6.4,1
2302964,Diya Desai,2,4,92,48.3,8.5,1
2302965,Kavya Pawar,1,9,55,41.9,7.5,1
2302966,Vijay Singh,1,13,93,72.5,6.4,0
2302967,Rahul Kumar,5,15,84,47.7,9.6,1
2302968,Arjun Chavan,6,4,30,74.4,5.9,1
2302969,Vihaan Pandey,5,10,68,52.2,4.3,0
2302970,Ananya Gupta,2,18,47,54.3,8.8,1
2302971,Kunal Chavan,4,7,41,47.4,11.3,1
2302972,Sneha Nair,7,18,66,59.3,7.4,1
2302973,Rohan Mishra,5,19,99,41.3,3.7,0
2302974,Aisha Gupta,1,17,85,52.4,9.3,1
2302975,Siddharth Patel,6,20,44,84.5,9.3,0
2302976,Pooja Singh,7,11,86,45.1,3.6,0
2302977,Pooja Tiwari,3,12,51,96.3,4.9,0
2302978,Aisha More,0,20,36,64.5,2.1,1
2302979,Diya Nair,1,20,59,37.5,1.4,1
2302980,Rahul Gupta,3,17,49,96,9.8,0
2302981,Manish Kulkarni,6,14,78,62,4.8,0
2302982,Siddharth Kulkarni,1,14,47,69,3.7,1
2302983,Deepak Rao,5,11,66,43,3.4,0
2302984,Vihaan Verma,1,8,42,53.3,1.4,1
2302985,Amit Chavan,6,18,76,79.3,11.8,0
2302986,Shreya Gupta,1,11,20,38.7,4.7,1
2302987,Amit Singh,2,4,48,69.9,2.4,1
2302988,Kunal Mishra,8,20,69,78.5,10.4,0
2302989,Neha Verma,3,19,83,30.1,8.8,1
2302990,Diya Desai,4,9,100,88.6,8.1,0
2302991,Kunal Singh,8,6,94,33.9,3.9,1
2302992,Amit Kulkarni,6,10,56,47.3,5.3,0
2302993,Aisha Pandey,7,7,80,97.4,10.2,0
2302994,Vihaan Mehta,2,20,26,35.7,7.9,1
2302995,Rohan More,3,6,83,87.8,4.5,0
2302996,Neha Rao,6,15,37,75.6,1.8,0
2302997,Sai Kulkarni,3,15,48,71.9,10.9,0
2302998,Pooja Pandey,1,13,79,70.7,11.5,0
2302999,Deepak Kulkarni,5,14,73,41.7,8.8,1
2303000,Krishna Singh,8,19,91,76.8,8.5,0
2303001,Shreya Jadhav,1,8,40,96.6,6.7,1
2303002,Arjun Kulkarni,0,15,40,35.4,11.7,1
2303003,Suresh Desai,7,15,77,53.3,8.5,1
2303004,Arjun Singh,0,4,68,63.1,1.4,1
2303005,Siddharth Shah,0,2,55,46.3,1.6,1
2303006,Vivaan Mishra,2,20,36,81.9,11.6,1
2303007,Aryan Mehta,4,12,99,78.2,11.3,0
2303008,Aryan Joshi,8,7,72,38.2,6.9,1
2303009,Vihaan More,1,16,34,69.9,3,1
2303010,Aryan Patel,0,4,98,55.8,7.2,1
2303011,Deepak More,0,5,59,46,9.3,1
2303012,Rahul Verma,7,1,100,89.4,0.6,0
2303013,Manish Kulkarni,1,13,70,33.8,10,1
2303014,Aryan Verma,8,3,84,62.7,5.8,0
2303015,Vivaan Pawar,8,2,32,63.3,5.8,1
2303016,Riya Chavan,1,8,57,69.9,5.5,0
2303017,Sneha Joshi,2,17,93,43.8,8.5,1
2303018,Rahul Desai,1,11,45,91,2.9,1
2303019,Vijay Sharma,5,8,95,97.6,7.5,0
2303020,Priya Singh,6,17,34,68.4,1,0
2303021,Rohan Pandey,5,12,24,47.9,9.8,1
2303022,Shreya Shah,2,13,21,91.4,9.9,1
2303023,Kavya Sharma,2,9,97,99.2,4.1,0
2303024,Priya Sharma,1,2,84,81.9,1.7,1
2303025,Pooja Nair,1,6,96,53.4,9.1,1
2303026,Rohan Verma,4,17,79,46.5,5.9,0
2303027,Aryan Singh,7,15,75,41,11.1,1
2303028,Ananya More,5,16,97,46.4,4.6,0
2303029,Raj Desai,8,5,57,45.9,10.2,1
2303030,Ishaan Jadhav,4,11,76,97.7,0.8,0
2303031,Priya Desai,3,18,70,75,9.4,0
2303032,Diya Patel,8,2,60,41.7,8.3,1
2303033,Ananya Patel,4,2,98,64.2,6.6,0
2303034,Aryan Pawar,0,17,89,42.9,11,1
2303035,Amit Verma,4,10,71,72.4,11.3,0
2303036,Kavya Chavan,4,5,20,53.9,11.2,1
2303037,Vivaan Kulkarni,4,18,37,43.7,7.4,1
2303038,Sai Nair,1,4,46,47,6.5,1
2303039,Nikhil Nair,5,12,91,77.3,3.6,0
2303040,Ishaan Sharma,4,4,95,58.6,2.4,1
2303041,Diya Mehta,1,2,61,65.9,6.9,1
2303042,Amit Nair,7,18,25,87.5,2.2,0
2303043,Pooja Gupta,5,16,99,75.9,2.5,0
2303044,Amit Chavan,2,2,43,62.4,4.6,1
2303045,Diya Kulkarni,8,14,64,96.8,2.6,0
2303046,Shreya Desai,3,16,90,45,6.3,0
2303047,Manish Mehta,2,12,26,50.2,8.1,1
2303048,Riya Verma,6,13,35,93.8,8.5,0
2303049,Raj Verma,7,15,77,89.7,6.6,0
2303050,Ananya Kumar,6,10,76,39.1,6.5,0
2303051,Krishna Shah,0,16,61,95.1,6,0
2303052,Raj Mehta,0,4,33,30.7,3.3,1
2303053,Aryan Verma,4,20,75,87.6,8,0
2303054,Riya Kulkarni,7,14,31,49.5,8.1,1
2303055,Rohan Verma,2,17,34,43.2,3.4,1
2303056,Aarav More,7,15,27,61.4,8.6,0
2303057,Nikhil Singh,2,13,77,92.8,10.4,0
2303058,Vijay Verma,3,13,72,85,7.3,0
2303059,Deepak Tiwari,6,12,28,97.7,1.9,0
2303060,Vivaan Pandey,2,0,65,67.9,4.3,1
2303061,Ananya Gupta,3,5,26,65.7,1.6,1
2303062,Nikhil Kulkarni,7,10,63,30.9,4,0
2303063,Siddharth Joshi,3,10,33,42.6,2.9,1
2303064,Vijay Nair,8,15,94,64.8,6.9,0
2303065,Sneha Tiwari,3,2,25,82.7,5.4,1
2303066,Arjun Jadhav,3,16,54,87.6,8.8,0
2303067,Vijay Tiwari,4,13,89,49.8,4.7,0
2303068,Vivaan Shah,0,1,80,79.9,2.3,1
2303069,Amit Rao,6,8,43,88,3.2,0
2303070,Vihaan Mishra,8,7,92,56.2,6.8,1
2303071,Vihaan Tiwari,8,10,21,78.7,5.7,0
2303072,Riya Singh,0,6,97,60.6,1,1
2303073,Vijay Sharma,5,1,70,99,2.9,0
2303074,Diya Singh,2,3,50,30.5,3.9,1
2303075,Aisha Jadhav,3,13,46,59,8.8,1
2303076,Sai Patel,7,12,50,48.5,8.9,1
2303077,Suresh Mishra,3,12,89,89.5,8.5,0
2303078,Manish Chavan,7,12,62,50.1,9.9,1
2303079,Manish Gupta,3,4,71,68.1,10.5,0
2303080,Vihaan Kumar,8,11,33,81.8,1.3,0
2303081,Neha Tiwari,5,5,78,64.8,6.2,0
2303082,Rohan Tiwari,0,13,39,58.7,2.2,1
2303083,Sai Shah,1,7,71,33,4.6,1
2303084,Riya Pawar,6,7,94,31.6,8.1,1
2303085,Diya Tiwari,6,6,59,97,7.4,0
2303086,Siddharth Joshi,2,16,87,75,2,0
2303087,Sneha Pandey,0,20,63,87.8,9.2,0
2303088,Ananya Pawar,7,10,25,63.6,9.6,0
2303089,Krishna Pandey,6,9,76,48.3,2.1,0
2303090,Ananya Verma,7,12,77,50.6,7.6,1
2303091,Arjun Mishra,0,9,91,33,11.4,1
2303092,Manish Kulkarni,2,20,49,85.4,1.6,1
2303093,Suresh Kumar,1,13,71,70.7,2.4,0
2303094,Manish Tiwari,0,8,30,63.7,9.3,1
2303095,Pooja Desai,4,6,66,89.7,4.4,0
2303096,Aarav Patel,2,6,24,61.1,11.5,1
2303097,Kavya More,7,17,22,96.4,7.7,0
2303098,Sneha Kumar,5,15,34,30.9,6.1,1
2303099,Diya Kulkarni,8,7,21,98.9,4.4,1
2303100,Aditya Gupta,8,15,21,87.1,3.2,0
2303101,Krishna Rao,5,18,91,54.8,8,1
2303102,Deepak Verma,1,14,73,71.7,7.3,0
2303103,Diya Gupta,8,14,65,90.5,4.6,0
2303104,Nikhil Kumar,1,5,60,63.7,11.1,1
2303105,Suresh Sharma,2,8,88,33.6,9.3,1
2303106,Aisha Shah,5,14,49,93.3,3.5,0
2303107,Suresh Desai,1,6,63,66.2,11.3,1
2303108,Rohan Pandey,4,7,29,68.2,9.2,1
2303109,Amit Desai,1,17,49,31,10.8,1
2303110,Siddharth Chavan,3,20,94,37,2.1,0
2303111,Aditya Kulkarni,2,15,68,84.4,0.9,0
2303112,Sneha Patel,4,14,54,60.4,6.2,0
2303113,Aarav Pandey,5,2,84,99.9,5.7,0
2303114,Aarav Pawar,6,0,36,78.7,10.5,1
2303115,Vivaan Kulkarni,7,12,50,96.5,2.5,0
2303116,Sai Kumar,8,11,89,49.6,0.8,0
2303117,Siddharth Chavan,3,8,96,42.3,6.6,0
2303118,Neha Sharma,3,1,71,56.4,2.5,1
2303119,Aditya Patel,6,8,45,48.5,1.1,1
2303120,Arjun Shah,8,7,24,72.9,0.8,1
2303121,Ananya Kulkarni,1,4,33,82.1,2.1,1
2303122,Diya Kulkarni,5,12,70,58.1,4.8,0
2303123,Krishna Joshi,7,1,34,36.3,10.7,1
2303124,Vihaan More,4,9,31,31.8,9.2,1
2303125,Amit More,4,5,65,45.3,6.6,1
2303126,Sai Mishra,7,6,83,81.3,5.4,0
2303127,Priya Mishra,0,2,91,45.5,5.7,1
2303128,Diya Kulkarni,5,13,78,93.8,10.7,0
2303129,Pooja Mishra,8,15,45,75.6,8.8,0
2303130,Amit Desai,5,5,48,90.3,2.5,1
2303131,Neha Kumar,6,7,23,57,11.3,1
2303132,Aisha Kumar,3,0,69,98.8,9.4,0
2303133,Aryan Chavan,0,19,44,77.6,0.9,1
2303134,Neha Desai,8,14,59,55,6.3,0
2303135,Diya Mehta,5,16,51,44.9,8,1
2303136,Aisha More,2,17,94,90.7,1.2,0
2303137,Riya Joshi,3,2,56,52.3,4.6,1
2303138,Neha Shah,5,5,29,33.1,8,1
2303139,Pooja Tiwari,5,16,57,49.5,9.9,1
2303140,Priya Nair,8,12,80,42.6,11.7,1
2303141,Manish Desai,3,16,46,52.4,1.9,1
2303142,Sai Verma,4,20,100,72.9,7.8,0
2303143,Priya More,4,15,26,65,10.8,0
2303144,Sai Tiwari,2,16,92,79.8,8.7,0
2303145,Aisha Rao,1,0,28,53.4,7.8,1
2303146,Kavya Nair,7,15,78,38.4,3,0
2303147,Nikhil Sharma,8,5,55,41.2,9.9,1
2303148,Aditya Kumar,8,7,49,85.8,7,1
2303149,Ishaan Kulkarni,4,0,38,36.9,1.8,1
2303150,Amit Pandey,8,1,60,85.9,11.3,0
2303151,Vijay Joshi,3,14,74,44.9,11.9,1
2303152,Priya Joshi,1,4,25,77.5,6.7,1
2303153,Siddharth Singh,2,19,41,73.6,9.4,1
2303154,Deepak Shah,0,14,89,36.9,7.2,1
2303155,Raj Rao,4,20,43,76.6,5.4,0
2303156,Sneha Shah,0,9,81,61.3,5.2,0
2303157,Priya More,0,4,61,79.5,11.6,1
2303158,Rahul Gupta,6,2,41,88.5,4.7,1
2303159,Sneha Chavan,1,5,35,32.8,6.1,1
2303160,Deepak Mishra,7,20,32,75.4,3.4,0
2303161,Deepak Kulkarni,5,14,56,37.3,3.4,0
2303162,Amit Singh,3,17,71,56.5,4.6,0
2303163,Priya Pawar,8,13,43,30.9,11.1,1
2303164,Rohan Tiwari,7,9,36,53,5.1,1
2303165,Raj Desai,2,3,35,41.9,6.9,1
2303166,Nikhil Mehta,2,10,20,68.9,6.8,1
2303167,Suresh Mishra,3,19,20,65.9,7.2,0
2303168,Suresh Jadhav,8,6,49,85.5,9.9,1
2303169,Nikhil Desai,8,14,43,74.8,10.9,0
2303170,Pooja More,4,8,65,80,2.9,0
2303171,Aarav Singh,8,14,21,36.5,10.4,1
2303172,Sneha Tiwari,5,11,34,31.9,6.8,1
2303173,Aditya Pawar,7,17,48,97.9,11.1,0
2303174,Aditya Chavan,7,5,81,59.9,11,1
2303175,Sneha Kulkarni,6,17,32,57.6,5,1
2303176,Siddharth Mishra,3,17,84,32.5,8,1
2303177,Pooja Tiwari,3,5,64,38.3,10.5,1
2303178,Vijay More,5,14,66,95.8,4.9,0
2303179,Sai Nair,8,18,35,78.6,1,0
2303180,Manish Pandey,6,4,22,58.6,4.6,1
2303181,Rahul Kulkarni,4,3,89,93.3,4.7,0
2303182,Raj Rao,4,16,24,71.3,9.8,0
2303183,Suresh Nair,7,20,45,82.3,4.1,0
2303184,Rohan Pawar,5,9,34,60.2,10.8,0
2303185,Shreya Pawar,0,11,92,60.2,6.8,0
2303186,Krishna Nair,0,4,74,34.8,7.2,1
2303187,Aryan Joshi,8,6,41,81.4,9.8,1
2303188,Riya Jadhav,7,11,56,36.9,2,0
2303189,Sai Kulkarni,5,1,48,83.5,0.7,1
2303190,Aarav Sharma,0,19,45,43.4,1.2,1
2303191,Ananya Verma,1,16,89,47.3,0.9,1
2303192,Vihaan Pawar,2,12,30,94.3,8.5,1
2303193,Vihaan Desai,2,4,39,63,3.3,1
2303194,Amit Singh,1,4,89,38.8,10.4,1
2303195,Aarav Joshi,1,19,52,93.4,10.7,0
2303196,Kunal Jadhav,5,11,49,61.7,4.6,0
2303197,Krishna Patel,6,11,69,39.1,2.7,0
2303198,Ishaan More,3,6,53,57.4,6.2,1
2303199,Vihaan Jadhav,0,5,24,71.3,9.9,1
2303200,Aisha Desai,5,9,99,55.4,8.4,1
2303201,Manish Tiwari,6,18,31,94.7,0.8,0
2303202,Deepak Jadhav,3,15,95,48.9,0.6,0
2303203,Nikhil Chavan,5,1,94,42.3,1.8,1
2303204,Aditya Pandey,8,3,71,45.5,4.4,1
2303205,Manish Singh,3,8,70,35.9,6.7,0
2303206,Arjun Pawar,3,4,40,61.7,9.9,1
2303207,Rohan Chavan,4,0,90,91.5,2.1,0
2303208,Sneha Chavan,2,10,77,51.4,2.3,1
2303209,Rohan Mehta,1,18,83,48.1,10.4,1
2303210,Vihaan Desai,8,2,25,88.6,11.1,1
2303211,Vivaan Shah,0,0,68,51.4,6.8,1
2303212,Ananya Singh,4,3,91,63.4,9.5,0
2303213,Shreya Joshi,4,8,56,32.2,4.4,0
2303214,Siddharth Sharma,7,15,29,50.1,11.4,1
2303215,Raj Mishra,5,6,99,39.1,10.9,1
2303216,Sai Rao,5,4,85,37.4,10.3,1
2303217,Ananya Kumar,5,12,75,60.2,0.6,0
2303218,Vijay More,3,10,90,49.4,6.5,0
2303219,Arjun Jadhav,0,13,85,41.7,0.8,1
2303220,Kunal Gupta,2,16,64,65.8,8.3,0
2303221,Kunal Nair,5,11,87,84.9,2.6,0
2303222,Aarav Nair,4,20,83,81.4,7.9,0
2303223,Arjun Shah,0,20,35,47.6,1.6,1
2303224,Amit Joshi,4,20,29,48.4,9.2,1
2303225,Krishna Shah,1,18,40,81.2,8.9,1
2303226,Suresh Sharma,0,4,31,69,0.6,1
2303227,Priya Pandey,3,7,32,82,9.6,1
2303228,Vivaan Kulkarni,5,1,100,30.1,2.4,1
2303229,Rohan Shah,6,16,29,36.1,1.8,1
2303230,Amit Jadhav,8,1,32,86.1,6.3,1
2303231,Aditya Joshi,4,2,53,89.6,7.3,0
2303232,Priya Jadhav,7,19,78,54,1.7,0
2303233,Ananya Rao,7,17,68,97.1,4,0
2303234,Arjun Sharma,8,14,25,51.1,5.2,1
2303235,Ananya Desai,2,4,31,92.3,11.4,1
2303236,Vihaan Jadhav,2,16,48,59.5,3.4,1
2303237,Vihaan Pawar,8,13,96,69.3,3.5,0
2303238,Vivaan Verma,6,0,45,75,8.1,1
2303239,Ananya Rao,3,13,87,39.3,8.9,1
2303240,Aryan Chavan,0,8,98,32.6,0.6,1
2303241,Sneha Joshi,6,4,35,59.9,2,1
2303242,Nikhil More,5,3,72,41.2,4.6,1
2303243,Suresh Pawar,2,0,38,68.4,7.8,1
2303244,Krishna Mishra,4,2,66,61.8,2,0
2303245,Amit Gupta,2,19,51,38.5,4.6,1
2303246,Suresh Gupta,7,10,89,76.6,1.4,0
2303247,Aryan Nair,4,15,89,31.4,7.1,1
2303248,Manish Joshi,5,10,80,38.8,5.4,0
2303249,Raj Pandey,1,20,24,79,9.6,1
2303250,Rohan Pandey,7,9,78,66.9,7.1,0
2303251,Aditya More,8,11,21,49.7,8.1,1
2303252,Aryan Pandey,2,4,21,42.6,8.2,1
2303253,Aditya Rao,5,9,22,75,7.3,0
2303254,Ananya Pandey,5,12,89,44.4,0.7,0
2303255,Sai Mishra,1,18,62,98.9,10.1,0
2303256,Siddharth More,7,6,24,90.9,11,1
2303257,Aditya Kumar,4,15,69,39.3,6.6,0
2303258,Ishaan Kulkarni,7,5,29,90.1,1.8,1
2303259,Pooja Singh,7,9,46,54.2,8,1
2303260,Neha Patel,2,9,43,64.3,4.7,1
2303261,Diya Kumar,4,10,41,40,1.3,1
2303262,Suresh Chavan,6,9,22,38.3,10.3,1
2303263,Diya Patel,4,13,35,90.6,8.7,0
2303264,Riya Mehta,5,14,49,74.1,9.8,0
2303265,Nikhil Tiwari,1,6,62,62.2,9.7,1
2303266,Diya Joshi,7,12,23,32.5,4.6,1
2303267,Pooja Joshi,4,10,59,94.5,6,0
2303268,Sai Verma,5,6,35,56.3,3.2,1
2303269,Krishna Pawar,0,10,91,59.2,9.2,1
2303270,Arjun Shah,1,13,35,50.3,6.5,1
2303271,Aarav Nair,3,16,85,92.4,8,0
2303272,Priya Chavan,8,15,74,54.1,4.6,0
2303273,Sneha Kumar,5,0,39,42.2,8.3,1
2303274,Vijay Pawar,7,8,70,65,8.2,0
2303275,Deepak Jadhav,1,8,76,84.7,9.4,0
2303276,Ananya Pawar,4,9,70,56,2.3,0
2303277,Nikhil Tiwari,0,18,37,75.6,7.7,1
2303278,Riya Tiwari,3,14,96,51.3,10.6,1
2303279,Krishna Singh,0,15,100,80.4,1.6,0
2303280,Deepak Desai,8,10,78,76.8,11.5,0
2303281,Sai Pandey,1,16,47,77.7,2.9,1
2303282,Arjun Desai,6,18,88,75.2,11.3,0
2303283,Deepak Jadhav,2,12,47,40.9,10.5,1
2303284,Kunal Mishra,1,5,32,92.2,9.4,1
2303285,Priya Tiwari,3,14,25,71,2.9,0
2303286,Nikhil Jadhav,6,15,48,56.8,3,1
2303287,Manish More,6,3,28,42.1,3.5,1
2303288,Vijay Pandey,8,7,48,84.9,9.8,1
2303289,Krishna Kumar,2,6,57,65.6,2.7,1
2303290,Aisha Sharma,6,16,84,40.3,7.2,1
2303291,Vihaan Tiwari,5,15,75,94.5,9.4,0
2303292,Deepak Verma,6,1,49,37.4,5.8,1
2303293,Riya Patel,6,16,78,66.7,10.2,0
2303294,Raj Kumar,4,3,77,72.7,7,0
2303295,Sai Chavan,8,13,29,99.9,7.3,0
2303296,Vijay Chavan,6,7,40,39.9,8.3,1
2303297,Rohan Mishra,6,4,75,72.9,10.2,0
2303298,Diya Gupta,2,4,45,63.4,0.6,1
2303299,Deepak Kulkarni,0,4,34,48,5,1
